listing_id,comments,review_scores_rating
1871261,"Asuka was nice and easygoing with us during our stay. Her room is pretty neat and the bed size is more than enough for two people (and comfortable). The overall hygiene of the apartment is alright, though not the best. It's pretty worth its value",50
1925519,"Great apartment but DIRTY, no towels, no bed sheets (I had to buy some) and the blanket was showing loads of dirt marks. No cleaning between my stay and the previous guest (who had an old sick dog in the room)...",20
2135116,Location just off Wall Street - not as advertised on a highway.,20
2515634,The host canceled this reservation 4 days before arrival. This is an automated posting.,40
2515634,The host canceled this reservation 3 days before arrival. This is an automated posting.,40
2515634,"The host wasn’t too attentive that our check in was after 3PM. We arrived at 4PM. To be fair, he sent us a message around 8AM in the morning to ask when we would arrive. I missed this message, due to notification settings on the app. This is definitely my fault. But I was hoping to get a phone call if he had a sense of urgency, I was not expecting him to let his friend stay in the space we paid for already. He was also not even at the location. I’d presume you’d be at the location you’re renting out around the time of check in... In general he seemed to have a decent attitude though! So I appreciate it.

Responses were not too urgent at first, which can be understandable! However, he then told me because I didn’t respond to his earlier 8 AM message that he was going to let his friend stay the night. This is when it became a BIG problem to us. I was willing to wait for him to come back and only wanted an estimate of when that would be. But he didn’t let us know, out of the blue he told us he let a friend stay instead. If this was the case, I was hoping he’d cancel our reservation in a timely manner. Or call me to get ahold of me ASAP. Why let your friend stay in the room we had already paid for? To be fair, he later offered to let us stay in the room still, but with his friend there (not in the room with us). It would have been an uncomfortable situation for us still. We don’t know him or his friend and it’s not terms we had agreed to beforehand. Luckily we had gotten a full refund. Considering he knew he had a reservation, I was hoping he’d set time aside or have someone greet us maybe. It’s my first time using AirBnB and it was kind of a mixed experience, but I appreciate the AirBnB customer service ! They even paid half of our awesome hotel that night. My only advice is, if you want to get in touch with future visitors - please call them if it’s urgent. Don’t just let a friend stay in the space without properly informing people who paid for the space in advance. It’s asking for trouble and it was kind of suspicious for us. He has a convenient location. I can’t comment on the cleanliness or anything else because we never got in the space. He asked also what the gender of my friend would be - which also didn’t make sense to me. We are paying for the room, I don’t think it matters. We just wanted somewhere safe to retreat after celebrating the New Year, but we probably dodged a bullet. We still had a good time in NY irregardless! He may definitely have good intentions, but this was really crazy for us lol.",40
3646551,"I wish I had some good things as this was the first airbnb that needed alot of attention.  The location is good, wifi was fine and the bed was comfortable.  Eran could not acommodate our red eye flight because they needed to have a cleaner come in, so we had to take a taxi to a family member in Brooklyn with 5 pieces of luggage.  Although Eran offered to have us take our luggage to their office, we would have still needed to take two taxi's either way.  We were met at 4:30pm by Tereza.  The picture of this Gramercy-Reno apartment is quite deceiving.  It is not light, although it did have three lamps which we kept on when Tereza got light bulbs for them.  The nice white rug in the picture was taken out because it was dirty and never returned in the 5 weeks we were in the apartment. Bathroom was dirty with old dirt around pipes and door was off the hinge. I had something fall under the bed and was disgusted by the clumps of dust and dirt.  Oven was broken, could only use cooktop, oven was replaced after 4 weeks.  Cable was not working and when I let Eran know, he questioned my credibility, Tereza did get us a new cable box after two weeks. Three of the beautiful floor boards were falling through the floor and I caught my slipper on it which ripped my slipper.  After 4 weeks they did replace the two that caused a problem. My first day in the apartment I was not able to leave because I could not lock the door, the key was very difficult to get in and out and lock and got stuck.  I texted them to come to my rescue but they never did, so I sat home all day.  My husband remedied the problem by buying WD40 and then the key worked. They never addressed it. My husband and I are homeowners and we were not tourists but waiting to move into our new house.  We are quite experienced with airbnb and did not feel this was worth our money.",30
3646551,"Horrible!!! Do not stay here. He was totally unavailable to give us the keys. The internet didn't work when we arrived and 48 hours later he finally came to ""fix it."" Come to find out - he was stealing internet from his neighbor and didn't have it for the apartment. By ""cable"" he means two channels. If you want anything aside from public access, he'll charge you for it. He said we couldn't get in because he was having the unit cleaned. When we arrived it was disgusting. Fruit flies everywhere - gross floors & things spattered on the wall in the kitchen. The bathroom had black mold in the shower. The lock was broken on the front door. Unsafe, un clean, don't stay here! A ton of money for a shit hole listing. We were going to stay for three months and cancelled for three days.",30
4244476,"Lori was a really nice host. She was easy to get in contact with and had clear instructions about how to use the apartment etc... However, the apartment was filthy dirty. Both me and a friend I was traveling with were extremely disappointed and grossed out that there was not any cleaning done ahead of time. Even the simplest of things were not clean. It made the stay really hard so we made sure to spend as little time as possible in the apartment because it was just plain gross. I was really disappointed in this experience overall. Hopefully she will clean for her next guests.",20
4295603,"Our stay was a mixed bag. We loved the flexibility of a place to stay for medium term in New York - something not that easy to find anywhere. The apartment looked exactly like the listing, very attractive and well kept up. We were familiar with the location and although it was a little far from everything, it was still close to McGorlick park and some fine restaurants. We also found the live-in super to be very helpful with our move-in and dealing with any issues that came up.

Now for the bad. The internet was a constant problem. I work from home often as a result of my job and need a good connection. At first we were able to have a dedicate Time Warner modem. Unfortunately, every month it seemed that the owner was not paying the Time Warner bill and we'd have service cut off for a few days. This caused a huge issue with my job as I'm not always able to come into the office and secure a connection. In the end, the Time Warner modem was removed and replaced with a MUCH worse connection that we couldn't use. We tried working with the management to deal with this issue but we never got a straight answer or a satisfactory solution. In addition, the walls were very thin and for the first month or so we were woken up at all hours by our partying neighbors. This became less of an issue when more normal folks moved in.

For the price, I don't think I could say I'd recommend this place. On the otherhand, we couldn't find anything better on short notice and the place was very nice, cleaned regularly and decently located.
",40
5259407,"Eran was a well meaning host and the apartment was in a great neighborhood. Unfortunately, we had the bad luck to have a few things go wrong (loss of Internet, broken front door knob, broken AC). Eran's responsiveness was sincere but less than effective. Given the price we paid, we expected a more professional management service.",40
5259407,"Bad experience all together..
In a nutshell:
Leading up to arrival, Eran's communication was satisfactory at best.
One arrival, the place didn't look anywhere as good as it did in the pictures. Looked dull and run down.
Attention to detail with cleanliness and building standards were non existent. 
Shower had just been re done with the drain being blocked and shards of aluminum and mess still left over. 
Noise levels were excessive - it felt like we were literally sleeping on the street.
Bad experience all together. 
However, made better by the great resolution dispute team at Airbnb who refunded basically our entire stay (50nights) and were completely understanding. A very good reflection for the Airbnb brand.",40
5259407,The host canceled this reservation 32 days before arrival. This is an automated posting.,40
5842819,"Nice apartment with a very nice roommate. I didn't see Auminea as she was in in Australia but she was very nice and helpful over email, as was her roomate. He helped me with my bag upstairs, he lent me clean sheets when I arrived as the ones on the bed weren't clean, and he answered any questions about the area I had super fast. 
Fantastic location, literally 2 mins walk to the L, Bedford Ave is one stop from Manhattan. 
The room and apartment were not that clean, a lot of dust and hair.. more than I would find acceptable, others may not.
The person in the apartment above sounds like a herd of elephants and seems to walk across her flat all night. There was a rave outside the window which started at midnight and was still going when I left for the work the next morning which meant zero sleep. There is also a high school opposite the window, very noisy if you want to sleep in on a week day. Not a great apartment for sleeping. 
The room doesn't look quite like the photo as there are packing boxes lining the wall, plus there is no way to hold the curtains open so it was hard to let natural light in.
Excellent location for Bedford ave, if noise and super clean don't bother you it's a great room.

",40
6031895,"Host did not provide internet for entire three week period - despite promising to do so in the listing. In addition, the apartment was completely unfurnished (no silverware, plates, microwave etc.) and bedding was only provided begrudgingly. I was not made to feel looked after by Tianhui at all.",20
6225935,"A very good apartment for a stay of a night or two: desk and bed, good wifi, clean bathroom, washing machine, and unintrusive roommates. Think twice though about staying longer than that though, especially if you hope to cook: the kitchen was dirty and very poorly equipped (not ""fully equipped"" as the listing specifies). Only after insisting upon being supplied with a bare minimum of kitchenware did the host provide me with a single plate, a bowl, a fork, a spoon, a pot, a small pan, and a spatula, as well as a single coffee mug to drink from.

One point for light sleepers: the walls are thin, and every door in the apartment creaks loudly. If any of the roommates decide to come home late or make a midnight snack, you will be woken up.",30
6225935,Neighbourhood was great. Host was not present and did not make it clear to her guests about how and where to collect keys and was very hard to get hold of on day of arrival. The bathroom was unsanitary and in a despicable condition. Kitchen and lounge were filthy and full of boxes and packages and shoes all over,30
6423799,"Maurine has a very cute apartment in a great location in NYC.  Check in was at 12pm and we told her we would arrive around 1:30pm. The night before our arrival, she asked that we come at 2:30pm.  We arranged to drop off our luggage and return later since we were coming straight from the train, but this was inconvenient.  When we met, Maurine was very friendly.  Unfortunately, after she left, we realized that the shower was not very clean and not draining correctly.  There was also a lot of mildew.  My husband tried to take a shower but the water would not drain.  The neighbor downstairs actually had a leak into her apartment. We moved out after 1 night and found a last minute hotel room.  We agreed to pay for one night + cleaning fee. Maurine was understanding, however when it came to refunding us for our stay - we were only offered 68% of our fee back when we only stayed 1 of our scheduled 6 nights.  This is very disappointing given that the hotel room was much more expensive.  I would not stay at Maurine's again.  If you do, bring shower shoes.",40
6807836,The host canceled this reservation 7 days before arrival. This is an automated posting.,20
6807836,The host canceled this reservation 19 days before arrival. This is an automated posting.,20
6807836,"Booked air bnb, and she never responded so I never got to stay at a place I paid for",20
6887405,"Staying in Rob's apartment wasn't as pleasant as I expected to be. The description was accurate, except the ""clean"" part. Unfortunately, Rob wasn't present (he was in a Brazil) and his roommates were a little bit messy. 

When I first come to his apartment, there were some stains on the bed sheets. Rob responded to me that it's a sweat stain probably. Luckily we had our own sleeping bags so we don't have to deal with this. 

The bathroom was simply disgusting. The toilet wasn't working at all. I had to fix it twice BY MYSELF because Rob's roommates apparently didn't care. Once, someone peed into the toilet but didn't bother with flushing it. So I come to the bathroom and there was a toilet full of urine. I know that's not Rob's mistake, but he's the one who's renting an apartment and if he can't assure that his roommates are neat, he shouldn't rent the apartment at all.",20
7024079,The host canceled this reservation 6 days before arrival. This is an automated posting.,40
7024079,"I stayed here for 1 week and it was fine for 50 bucks per night, still the apartment was very dirty and they really need to work on that bath was not that bad but kitchen was terrible. But what is super is the amount of markets, pharmacies and restaurants near the place and is super close to the subway I even took the sub to the airport with my 2 huge bags. Mifan was very understanding and always polite and her roommate too she did apologize about the space been dirty. The room itself has space enough and the air cobditioner really helped me with July weather!",40
7024079,"When I came,I paid for a cleaning fee But downside is that the room wasn't cleaned up before I came, even the trash was not cleared. The bedroom was decent, for the price you pay. Plenty of hair here and there on the bed from the previous renters I guess..
 Accessible location wise, toilets were awfully dirty, horrible horrible toilets... The stench of pee could me smelled by the corridor.
Black marks and dirt on the toilet floor, very poorly maintained unlike in the pictures.
As mifan was away I communicated with her room mate, and asked if there was going to be anyone who cleans the toilet after a guest comes but she did not reply, And also informed Mifan about the condition but she did not reply either. I really couldn't stand the sight of the toilet, the flush was not working.
 The apartment conditions in terms of sanitation and hygiene, is not up to my expectations. Safety wise I felt very insecure as well, As on the third day someone tried to Come into my room 3 times ,in the middle of the day when I was still  inside my room, without notifying me and they were two males when mifan said  there were only 2 females living in the apartments and so I decided to leave the apartment early and airbnb was helpful and understanding towards the circumstances.",40
7501794,"Well, this definitely has been the most challenging place to stay that i have found thru airbnb.

First, the apartment is small but enough to fit 2 or 3 people. Small kitchenette, one sofa at the living room, and one air mattress that we could never set up to work right. No space to hang anything, and actually, looked like they didn't expect to receive anybody even though we confirmed booking since first week of the month. The place looked messy, with stuff lying around everywhere, but the worst part is, beneath the messines, it was dirty. 
Even though i priorly asked for a set of clean sheets and clean towels, i got them, but definetely not clean. Had to bought new towels, because the ones we got smelled funny.
Every space of the house was at best dusty, at worst filled with women hair. By the second day we had to sweep and mop the entire place to feel a little comfortable, but really didn't help. We left by the 4th day. I know the price wasn't high, but to pay 25US for the cleanliness was a bad joke.

On the bright side location is awesome. Harlem is a really nice place to stay. You will find a store or bodega in every corner, the 16th st subway is a couple blocks away, and around on Frederick douglas Av. you can find a bunch of restaurants, bars, cafes and some stores, great place to hang around at night. Central park is 10 min. walking distance.
You see a lot of locals hanging around on the streets all day and night, but nobody messes with you, i never felt unsafe or threatened. If you want to meet the real harlem, walk up north some 5 minutes to 125th avenue where you can find cinemas, stores and chain restaurants, and mostly the local harlem flavor.
",40
7693424,"Ingrid is such a sweet and fine lady. I enjoyed having her as a company when I was home. In order to make a best host, it is really NICE to include AC in summer, and TV cables in the living room so as your visitors can enjoy the most.",50
7693424,I stayed about one month in Ingrid's house. Ingrid was such a nice host! She was friendly and kind. The house was very close to the subway and I liked it. It was very pleasure to stay in her house.,50
7754916,"théo is good guest we have passed a good moment in N.Y. with my friend.
His bedroom it was very nice and the subway just between",50
7754916,"Teo wasn't there his roommates show us everything.
The apt was near the subway station. 
But The room wasn't clean. We have to sleep with a sleeping bag because teodoro haven't got a blanket for us.
The apt was the neighborhood from the ""projects"" it was dangerous for 2 girls to go out by night. We have to call a taxi..
In my opinion it wasn't a good experience. And for our next stay in NYC we won't choose teodoro's apartment again.",50
8241894,"Very well located appartment and very friendly host making his best to give me access to the appartment asap.
BUT:  I had just one sheet on the mattress and a small blanket. I asked a sheet to cover me, but they hadn't any :( When I arrived, the bed wasn't done and had always the sheet of the previous person ...
Towel was of a ridiculous size (I couldn't dry myself after shower)
Curtains were too short to cover the bottom of the Windows.
Bathroom is in a pity state: mold in the bath and the host let tons of hair in the bath after washing her hairs which was quite disgusting.
",40
8807842,"A few days before arriving, Rebecca asked if would mind staying in her other loft space down the street from where this listing was. No problem, she sent pictures and the place looked clean and fine. So this review is about her other place on Seigel St in Brooklyn. 

The good: Rebecca is a friendly person and good at communicating with her guests. Booking, coordination and checking in and out went fine. We stayed in Rebecca's room in a shared loft space with 2-3 other girls. Her room was tidy and looked fine. 

The bad: Her place is one of those Brooklyn loft spaces which have been cheaply converted into shareable spaces. The bedrooms are basically made up of super thin dry wall construction with no windows (except small windows in the top). There is no sound isolation so you can hear everything. We woke up several times in the night when her room mates would come home drunk and re-heat food in the microwave. Even though they tried to stay quiet. You just hear everything. The rooms don't have any windows, except a few bizarre small windows in the roof into the living room and the other rooms. This mean, if any of the roommates turn on a light in their own room it will light up your room and keep you awake. 

The ugly: The place is a complete mess! There is trash everywhere and I have no idea when they cleaned the last time. There is a trashed ikea bed in the living room and beer bottles, plastic bags and trash piled up everywhere. 

I didn't rent the living room so in my opinion they can do what they want in their shared space. But you would have thought they would at least want to take out the trash or something when having AirBnb guests over. We were really disappointed by the state of the bathroom since it was a room we actually had to use; it was disgusting. We called Rebecca out in this when we checked in and she did a brief clean up the day afterwards. 

I am sorry for this negative review but I believe it is important to be honest towards the host and future guests. I would not recommend renting this place as it is not ideal for hosting guests and the people living there do not seem to make an effort to keep the place tidy and welcome for guests. Maybe you would like it if you are in the beginning of your 20s, looking for partying in New York and don't care about where you crash at night.",20
8887748,"The neighborhood was great. The apartment sat right on the corner of 5th Ave, which had a ton of cool little restaurants and thrift shops to explore. Target, Marshalls, Duane Read, and more all within walking distance.

The only point I would make is that the dining room/kitchen area was very messy, and the bathroom pretty messy as well. I really didn't use the kitchen area at all so it didn't really matter for my personally. Other than that, all was what was expected. The room itself was spotless, warm, and gets some nice light in the morning.

Overall, a great room to stay in for a short time.",50
8887748,"tl;dr DO NOT STAY HERE

My month long stay at Charlotte's place was the worst AirBnb experience I've EVER had. The location is great - you're right off of 5th avenue in Park Slope and within walking distance of Atlantic Terminal/Barclay's Center and the public transportation is excellent. I only have 500 words so I'll just cut to the chase about the bad parts of the experience:
 
1) The bathroom is disgusting. There is shed hair everywhere and I don't know if they ever clean it. I honestly feel bad for the 2 guys who live in the apartment because they have to deal with massive amounts of shed hair everywhere.

2) For the last 10 days of my stay, there was NO TOILET PAPER.

3) The building is undergoing repairs, so there were days were there was no water in the apartment (and thus the toilet couldn't even be flushed).

4) The entire apartment is d-i-r-t-y. From trash being left on the kitchen floor for days to the stove/fridge/cooking area never being cleaned. The room I stayed in was also very dirty. There was massive amounts of dust and shed hair everywhere in my room.

5) Kitchen appliances are kept on the floor. The microwave, water kettle, and toaster oven are all kept on the floor of the kitchen (which is where trash is also kept in-between garbage pickups).

6) As you can see from the picture, the room is tiny, but nobody emptied the closet/shoe rack so that I could store my things there during my month-long stay.

And finally, I left a few things in the refrigerator when I moved out, and texted Charlotte immediately when I realized and set up a time to come back and pick up my belongings 2 days later. When I arrived, they had already thrown away my belongings and so I wasted my time in going there. 

I was also accused of having somebody else living with me when I had a friend visiting for the weekend. It's pretty socially isolating living there too because the roommates speak to each other exclusively in Mandarin and so it was hard for me to connect. They're really nice people though!

All in all, I  did not enjoy my stay here and would never return.",50
8887748,The host canceled this reservation 5 days before arrival. This is an automated posting.,50
8932929,"Die Preis und Lage war sehr gut, das Zimmer war gross genug, die Matratze bequem. Das Zimmer war aber schmutzig, ungesaugt, die Bettwäsche schmutzig (Harre, Schmutz). Wir haben uns der nächste Tag neue Bettwäsche gekauft und das Zimmer staubgesaugt. Gemeinsame Räume wie Küche, Bad und Wohnzimmer waren eine Katastrophe (Stink, Hundehaaren, Waschbecken voll von Geschirr, Boden Wochenlang ungewascht). Die schlechteste Erfahrung war wenn einen betrunkenen Mitbewohner um 3:00 Uhr früh seine elektrische Gitarre spielen angefangen hat. Das hat zwei mal passiert.  
",40
9146175,The manager of the place was very responsive and treated us amazing. Unfortunately the place is tiny.,40
9146709,"The apartment has an affordable size, a comfortable bed and it is very close to the subway line. However, we had many difficulties with this subway line, because at night it changes its schedules and it presents delays. There were days we have to get five different subways and spend three hours to get at the apartment. The apartment is on the top floor (4th floor) and the building has no elevator, so if you take a lot of bags, it will be difficult to get around. About the cleanness the score is zero. When we've arrived at the apartment there were two owner guests in another room and they left a very dirty and foul-smelling environment. This smell settled into our room and it was not gone. The bathroom was very dirty and the room we stayed in had signs of dirty that I believe have never been cleaned. We made the claim via airbnb to the owner, with the expectation that at least he would send someone to clean the apartment, but it did not answer our complaint.",40
9207023,"I didn't liked my stay on Megan's house. I told her that I was going with my girlfriend and she never told me that was only one single bed, we slept in a air mattress because of that. The shower is horrible, or is too hot or too cold. unfortunately I  don't recommend.",20
9345523,"This was a last minute booking, the area was good, the price was good, but the room was Not clean at all. Major dust bunnies all over. My cousin had a severe allergy issue with all the dust. The room looked like it had not had a once over cleaning in awhile. The neighborhood was Very loud early in the am. Also, the add says a shared common areas but we were told right away to basically keep to the bedroom. I would not recommend this place to anyone.",20
9412636,"Not satisfied with the service. The host was not in town and was unreachable. He only contacted me ones to ask whether I could check in late. I had to check in at 8PM and had to make 2 trips to the host's house to meet his roommate. I had to spend the entire day without a place to put my luggage.
The room was kind of clean but very messy.
The bathroom was horrible as it was shared between 4-5 people. I had to wipe the bathroom floor myself so that I could stand on the floor.
I would not stay here again and I am going to ask AirBnB to refund my cleaning charges for this one.",40
9426526,"This was our third stay with Lior, Nissim is the building manager.
Here my full review:
First the pros:
1. Although we didn't see Lior for both of the last 2 stays, Nissim was always there and communication with Lior was fast and they are both very responsive.
2. Checking in was simple because this apartment was across the hallway from the last apartment.
3. The internet is shared, which caused issues in the beginning, However, Nissim corrected the issue and even upgraded the speed almost immediately.
4. Apartment is relatively big.
The cons:
1. Bathroom is extremely small. It was very awkward to take showers.
2. Apartment very dusty, even after the cleaners cleaned, Nissim noticed the dust accumulated on the ceiling fan. We think there was dust mites too due to extreme allergies.
3. Couldn't open the front windows because of the amount of smoke from the rehab center/shelter next door, everyone smoked right by the window.
All in all, it's an ok apartment and if they do a better job cleaning it and no smoking next door, we would stay there again because the guys are super nice and helpful.",40
9471997,"l'appartement a une situation géographique exceptionnelle sur Manhattan dans le quartier de Soho. Il est situé à 5 min d'une station de métro à 10mm en transport en commun de la gare centrale de Penn 34th ST.Les restaurants et services, shopping c'est la place!!
Pour un bon marcheur 15/20min de la petite Italie et quartier Chinois.
Location parfaite pour les visites et centre d'intérêt de Manhattan et Brooklyn.
Je recommande pour célibataire ou couple en visite voyageant léger.",40
9511685,"This was the WORST airbnb or any living situation for that matter that I have ever experienced. First of all, the host was impossible to contact, having to communicate through a third party. Second of all, the whole apartment was disgusting and unlivable! It was dirty all around, the bed had no blankets, the washroom was unbearable, and there was a layer of mold on the tub. My friend and I had to go out and buy cleaning equipment to disinfect and scrub their entire bathroom before even stepping foot in. The price DOES NOT justify the condition of this so-called living space.  It says one star because it is required to give something, but if I could, I'd give 0.",20
9732432,"Our experience were less pleasant that we had expected. The room was smaller than we expected but that is because the owner had very few pictures. There wasn't bedsheets that we could use. The common bathroom was unkept. Location was difficult to access especially during nights, trains do not work as often. We waiting for an hour and the train to brooklyn still did not arrive.",20
9796097,"The place is awful, everything is dirty. They have to rent that place only for 6 and there are more than 20 people.  The rooms are very small compare with the pictures. The beds are uncomfortable and dirty. The place is not safe. Very bad experience.",30
9796097,"Host inesistente, nessuno ci ha mai fatto il check in ne il check out, nessuno ci ha mai controllato i documenti. Ambienti piccoli e sporchi. Dopo la prima notte insonne a causa della mancanza di regole di convivenza nella casa e ad un salotto con la tv sempre accesa a volume troppo alto (nonostante le ripetute richieste di tenere un tono sia di voce e di volume più basso), si è riusciti ad ottenere un po di calma nelle notti successive solo dopo una grossa discussione. Unico punto a favore la vicinanza alla stazione metro di Halsey.",30
9796491,"Zaza answered to me very quickly and his indications were perfect!
He arranged to make me check in as soon as I needed.
When I arrived, Zaza was easy going.
The room was underground with six others beds.
There wasn't so much place to put luggage but it's not so big deal. The smell of the stone of the wall was very strong. And I didn(t feel good about ...
Wanting to take shower, we, in average, have to wait 20 minutes cause there is only 2 bathrooms...Same with toilets. Doing a lot of airbnb and enjying it, I was thinking zaza place is more youth hostel than air bnb place. Which is nor good nor bad, just different
",50
9796491,Zaza was helpful in providing a room that suited the group that we were. Gave us a shared apartment with single room rather than bunker bed in hostels suitable for bachelor guys. He also suggested a nice place to visit to see the new year fireworks.,50
9844047,"It was an okay experience. We've visited with family and our biggest concern with the apt was its cleanliness! Some of the comforters and linen looked dirty and the sofa bed wasn't usable at all. We had actually grossed out by it as soon as we unfolded then put it back the way it (Website hidden by Airbnb) of us just slept on the sofa with a bed sheet on.
Even the extra mattress was dirty with stains on it!
Kitchen was pretty functional but no microwave. The stove smelled like gas leaking when lit first but was okay afterwords. 
And because we were there with family, another concern we had was that there was no lock on the bedroom doors.
Not so convenient for parking if you're driving.",40
9881195,Appartamento ben tenuto e puliti con tutti i servizi disponibili molto vicino alla subway,40
9944013,"La chambre est propre et agréable, bien que le chauffage ne soit pas suffisant en hivers. Il n'y a pas de clé pour la porte. L'ambiance est très bruyante car le métro passe toute la nuit sur le pont métallique de Manhattan. La salle de bain est correcte. La cuisine est bien équipée et les repas peuvent être pris dans le salon commun. Nous n'avons pas pu voir l'hôte car c'était les vacances. Le métro est très proche et le quartier regorge de commerces.",40
10015258,"Good price, and location was not so bad. But house was dirty. House conditions were not good. We didn't have any microwave even. Sheets and pillows were dirty.",40
11018752,"The listing was accurate. The pictures show the look of the place correctly. The host has an entire team with her which takes care of the experience. Jennifer and Charity were receptive of our requests.  The internet is separately ordered from time warner as the existing free wifi is not good enough for usage. The process from TWC is smooth and there is no contract cost.

The location is great if you want a place near Times Square and close to all the locations. I was working at 3rd Avenue and 41st, it was a daily hour walk between 3rd and 10th but it allowed us to see all the great locations between the avenues.  

The ACs are old , each room has a large window AC with the living area having an AC as well. The elevator is a bit slow.  Grocery stores are next door so you can cook in the apartment",50
11018752,"I stayed in this apartment with a friend for a month.

In short: I don't believe this listing is at all appropriate for Airbnb. To my mind, staying in an Airbnb should be like staying in someone's home, even if it's a 'buy to rent' property. There should be a certain degree of welcoming atmosphere. There should be amenities provided. You should not have to go out and buy essentials on your arrival. 

This is a short-term sublet, not an Airbnb. There's a big difference.

Here's an inexhaustive list of what we had to buy for this place: cloths; dish soap; hand soap; sponges to wash dishes; trash bags; shampoo; shower gel; laundry detergent; cleaning spray... I could go on. It would probably be quicker to list what it DID have. There's no vacuum cleaner, only a plastic brush with no dustpan. 

Cons:
- The staff managing this property are rude, unfriendly, and incompetent. Firstly they were impossible to reach by email leading up to our stay. When we finally got in touch, they provided my friend with the wrong code for entering the building. She was stuck outside for 30 minutes wirth her luggage. Every time we interacted they were unfriendly and unwelcoming.
- ZERO amenities. Every Airbnb I've stayed at (and I've stayed at quite a few at this point) has AT LEAST provided hand soap, shampoo, and shower gel.
- Cheap and creaky furniture. The beds squeak like crazy.
- Incredibly hard mattresses. I'm talking IKEA's cheapest.
- There's only one bedside lamp in one of the rooms. 
- Cheap flooring and ugly decor. The couch is an eyesore.
- Soundproofing is non-existent; we could hear the neighbours' children clearly through the front door, as well as the elevator bell every time someone came down or up.
- The hot water went on and off randomly. Had to take several cold showers.
- The view is of an office building which doesn't ever turn its bright halogen lights off. Which leads me to...
- The cheap, flimsy, thin 'curtains', which did precisely nothing to fulfill their supposed function of blocking out either sunlight or the aforementioned halogen lights which stayed on all night. I had to wear a sleep mask to get any semblance of darkness.
- The washing machines downstairs are circa 1955. They do nothing. Soap left on clothes. We had to use the expensive laundromat 7 minutes' walk away.
- The wifi is HORRIFIC. It's unlocked (in 2016? Seriously?) and we could barely do anything with it; not even email. Be prepared to use your phone data allowance.
- The TV setup didn't work at all.
- Despite it being explicitly against Airbnb regulations, I was sent an invoice for gas & electricity a week after leaving. 
-  Tons of homeless people on this street.

Pros:
- Location, if your priority is being close to Time's Square.
- The delis across the road are passable.
- Hell's Kitchen has some good restaurants & bars.",50
